Food	Variety	Preorpost	Portion_Amount	Unit	Added_Sugars	Calories
Cheese manicotti with tomato sauce	none	none	one	cup	0.1	376
Fried rice	plain	pre	half	cup	0.0	125
Chicken fried rice	none	none	half	cup	0.0	166
Shrimp fried rice	none	none	half	cup	0.0	161
Nigiri sushi 	with fish and veggies	post	one	piece	4.7	36
Maki sushi 	none	none	one	piece	4.1	30
Rice and beans	none	none	half	cup	0.0	196
Rice with tomato sauce	none	none	half	cup	0.0	126
Stuffed pepper 	(with rice and meat)	post	half	pepper with filling	1.8	209
Spanish rice	none	none	half	cup	2.4	106
Rice with vegetables	none	none	half	cup	0.3	139
Wrap sandwich 	"(meat, vegetables, rice)"	post	one	wrap	0.0	818
Lucky Charms cereal	none	none	one	single serving box	47.9	110
Raisin bran cereal	none	none	one	single serving box	31.5	124
Rice Chex cereal	none	none	one	cup	10.0	124
Rice Krispies cereal	none	none	one	single serving box	8.2	90
Special K cereal	none	none	one	cup	12.8	117
Corn Pops cereal	none	none	one	single serving box	48.8	106
Frosted Flakes cereal	none	none	one	single serving box	45.9	117
Total cereal	none	none	one	single serving box	18.3	92
Trix cereal	none	none	one	single serving box	45.8	106
Shredded wheat cereal	none	none	one	cup spoon size biscuits	0.0	170
Wheaties cereal	none	none	one	cup	16.0	107
"Wheat bran, unprocessed"	none	none	a quarter	cup	0.0	31
Beef burrito 	none	none	one	small burrito	0.0	297
Beef and bean burrito	none	none	one	medium burrito	0.0	331
Beef and cheese burrito 	none	none	one	Taco Bell burrito	0.0	689
Beef and cheese burrito (no beans)	none	none	one	medium burrito	0.0	494
"Beef, bean, and cheese burrito"	none	none	one	Taco Bell burrito	0.0	671
Beef taco	" (cheese, lettuce, tomato, salsa)"	post	one	Taco Bell Grande	0.0	339
Beef soft taco	none	none	one	taco	0.0	262
Chicken soft taco	none	none	one	taco	0.0	251
Bean taco	" (cheese, lettuce, tomato, salsa)"	post	one	taco or tostada	0.0	143
Taco salad 	"with beef, cheese, corn chips"	post	one	cup	0.0	193
Tamale 	(with meat or chicken)	post	one	tamale	0.0	133
Cheese nachos	none	none	one	cup	0.0	258
Beef and bean nachos	none	none	one	cup	0.0	252
Chicken nachos	none	none	one	order	0.0	543
Beef chimachanga	none	none	one	piece	0.0	337
Chicken chimichanga	none	none	one	order (4 mini pieces)	0.0	631
Cheese quesadilla	none	none	one	piece	0.0	498
Meat and cheese quesadilla	none	none	one	piece	0.0	605
Fried pork chop	none	none	one	medium	0.0	153
Breaded pork chop 	none	none	one	medium	3.7	304
